Código MTE,Período,Estoque,Admissões,Desligamentos,Saldos,Variação Relativa (%),Nome,Latitude,Longitude,Código IBGE,ID Reg. Adm.,Apelido Reg. Adm.
350010,Março/2020,9354.0,305,254,51,0.55,Adamantina,-21.682,-51.0737,3500105,9,Presidente Prudente
350020,Março/2020,650.0,22,9,13,2.04,Adolfo,-21.2325,-49.6451,3500204,13,São José do Rio Preto
350030,Março/2020,7306.0,285,272,13,0.18,Aguaí,-22.0572,-46.9735,3500303,5,Campinas
350040,Março/2020,777.0,17,22,-5,-0.64,Águas da Prata,-21.9319,-46.7176,3500402,5,Campinas
350050,Março/2020,4899.0,117,198,-81,-1.63,Águas de Lindóia,-22.4733,-46.6314,3500501,5,Campinas
350055,Março/2020,1253.0,28,24,4,0.32,Águas de Santa Bárbara,-22.8812,-49.2421,3500550,16,Sorocaba
350060,Março/2020,983.0,38,54,-16,-1.6,Águas de São Pedro,-22.5977,-47.8734,3500600,5,Campinas
350070,Março/2020,7675.0,260,312,-52,-0.67,Agudos,-22.4694,-48.9863,3500709,4,Bauru
350075,Março/2020,668.0,19,18,1,0.15,Alambari,-23.5503,-47.898,3500758,16,Sorocaba
350080,Março/2020,892.0,12,116,-104,-10.44,Alfredo Marcondes,-21.9527,-51.414,3500808,9,Presidente Prudente
350090,Março/2020,742.0,14,13,1,0.13,Altair,-20.5242,-49.0571,3500907,3,Barretos
350100,Março/2020,3125.0,156,76,80,2.63,Altinópolis,-21.0214,-47.3712,3501004,11,Ribeirão Preto
350110,Março/2020,476.0,15,10,5,1.06,Alto Alegre,-21.5811,-50.168,3501103,2,Araçatuba
350115,Março/2020,6392.0,65,124,-59,-0.91,Alumínio,-23.5306,-47.2546,3501152,16,Sorocaba
350120,Março/2020,500.0,11,5,6,1.21,Álvares Florence,-20.3203,-49.9141,3501202,13,São José do Rio Preto
350130,Março/2020,2792.0,64,96,-32,-1.13,Álvares Machado,-22.0764,-51.4722,3501301,9,Presidente Prudente
350140,Março/2020,199.0,5,4,1,0.51,Álvaro de Carvalho,-22.0841,-49.719,3501400,8,Marília
350150,Março/2020,347.0,0,2,-2,-0.57,Alvinlândia,-22.4435,-49.7623,3501509,8,Marília
350160,Março/2020,72293.0,2655,3087,-432,-0.59,Americana,-22.7374,-47.3331,3501608,5,Campinas
350170,Março/2020,10044.0,419,346,73,0.73,Américo Brasiliense,-21.7288,-48.1147,3501707,1,São Carlos
350180,Março/2020,285.0,7,1,6,2.15,Américo de Campos,-20.2985,-49.7359,3501806,13,São José do Rio Preto
350190,Março/2020,24509.0,559,664,-105,-0.43,Amparo,-22.7088,-46.772,3501905,5,Campinas
350200,Março/2020,1100.0,17,23,-6,-0.54,Analândia,-22.1289,-47.6619,3502002,5,Campinas
